"strategy_id","position_size","parameter_1","value_1","parameter_2","value_2","parameter_3","value_3","parameter_4","value_4","id","created_at","updated_at","symbol","active_order","fund","strategy_name","expiry_date"
"SMA_CROSSOVER_BTC","0.65","slowLength","35","fastLength","10","atr_period","35","stop_range","3",5,"2024-01-11 20:02:07.773795+00","2024-01-11 20:02:07.773795+00","BTC",False,"100","SMA_CROSSOVER","2024-09-17 05:00:00+00"
"SMA_CROSSOVER_AVAX","0.49","slowLength","35","fastLength","20","atr_period","5","stop_range","2",8,"2024-01-11 20:10:00.260566+00","2024-01-11 20:10:00.260566+00","AVAX",False,"100","SMA_CROSSOVER","2024-07-13 05:00:00+00"
"SMA_CROSSOVER_SOL","0.66","slowLength","35","fastLength","15","atr_period","25","stop_range","2",7,"2024-01-11 20:07:54.831302+00","2024-01-11 20:07:54.831302+00","SOL",False,"100","SMA_CROSSOVER","2024-04-10 05:00:00+00"
"SMA_CROSSOVER_ETH","0.6","slowLength","15","fastLength","5","atr_period","45","stop_range","2",6,"2024-01-11 20:06:16.962415+00","2024-01-11 20:06:16.962415+00","ETH",False,"100","SMA_CROSSOVER","2024-11-09 05:00:00+00"
"SMA_CROSSOVER_CAKE","0.47","slowLength","55","fastLength","5","atr_period","5","stop_range","2",9,"2024-01-11 20:11:53.274887+00","2024-01-11 20:11:53.274887+00","CAKE",False,"100","SMA_CROSSOVER","2024-09-29 05:00:00+00"
"BTC_FEAR_GREED_INDEX_MOMENTUM_VET","0.43","slowLength","45","fastLength","5","atr_period","5","stop_range","2",12,"2024-01-11 23:00:13.927371+00","2024-01-11 23:00:13.927371+00","VET",False,"100","BTC_FEAR_GREED_INDEX_MOMENTUM","2024-08-03 05:00:00+00"
"BTC_FEAR_GREED_INDEX_MOMENTUM_RNDR","0.62","slowLength","45","fastLength","25","atr_period","5","stop_range","2",13,"2024-01-11 23:07:08.480618+00","2024-01-11 23:07:08.480618+00","RNDR",False,"100","BTC_FEAR_GREED_INDEX_MOMENTUM","2024-06-11 05:00:00+00"
"BTC_FEAR_GREED_INDEX_MOMENTUM_AVAX","0.68","slowLength","70","fastLength","30","atr_period","20","stop_range","2",4,"2024-01-11 19:49:42.562151+00","2024-01-11 19:49:42.562151+00","AVAX",False,"100","BTC_FEAR_GREED_INDEX_MOMENTUM","2024-07-13 05:00:00+00"
"SMA_CROSSOVER_INJ","0.73","slowLength","45","fastLength","25","atr_period","5","stop_range","2",10,"2024-01-11 20:14:53.289987+00","2024-01-11 20:14:53.289987+00","INJ",False,"100","SMA_CROSSOVER","2024-10-21 05:00:00+00"
"BTC_FEAR_GREED_INDEX_MOMENTUM_ETH","0.54","slowLength","50","fastLength","5","atr_period","20","stop_range","2",2,"2024-01-11 19:03:08.914123+00","2024-01-12 07:16:46.904019+00","ETH",True,"100","BTC_FEAR_GREED_INDEX_MOMENTUM","2024-02-02 05:00:00+00"
"BTC_FEAR_GREED_INDEX_MOMENTUM_BTC","0.57","slowLength","60","fastLength","55","atr_period","5","stop_range","3",1,"2024-01-09 07:27:39.528212+00","2024-01-12 07:26:14.245125+00","BTC",True,"100","BTC_FEAR_GREED_INDEX_MOMENTUM","2024-02-02 05:00:00+00"
"BTC_FEAR_GREED_INDEX_MOMENTUM_SOL","0.76","slowLength","65","fastLength","5","atr_period","15","stop_range","2",3,"2024-01-11 19:43:48.725514+00","2024-01-15 00:00:16.469085+00","SOL",False,"96.43204466","BTC_FEAR_GREED_INDEX_MOMENTUM","2024-04-10 05:00:00+00"
