strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,symbol,strategy_name,expiry_date
BTC_FEAR_GREED_INDEX_MOMENTUM_AVAX,0.45,slowLength,40,fastLength,30,atr_period,20,stop_range,2,AVAX,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-07-13 01:00:00-04
BTC_FEAR_GREED_INDEX_MOMENTUM_BTC,0.53,slowLength,60,fastLength,45,atr_period,30,stop_range,4,BTC,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-02-02 00:00:00-05
BTC_FEAR_GREED_INDEX_MOMENTUM_RNDR,0.37,slowLength,20,fastLength,10,atr_period,25,stop_range,2,RNDR,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-06-11 01:00:00-04
BTC_FEAR_GREED_INDEX_MOMENTUM_SOL,0.55,slowLength,35,fastLength,25,atr_period,5,stop_range,2,SOL,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-04-10 01:00:00-04
SMA_CROSSOVER_AVAX,0.49,slowLength,35,fastLength,20,atr_period,5,stop_range,2,AVAX,SMA_CROSSOVER,2024-07-13 01:00:00-04
SMA_CROSSOVER_BTC,0.65,slowLength,35,fastLength,10,atr_period,35,stop_range,3,BTC,SMA_CROSSOVER,2024-09-17 01:00:00-04
SMA_CROSSOVER_CAKE,0.47,slowLength,55,fastLength,5,atr_period,5,stop_range,2,CAKE,SMA_CROSSOVER,2024-09-29 01:00:00-04
SMA_CROSSOVER_ETH,0.6,slowLength,15,fastLength,5,atr_period,45,stop_range,2,ETH,SMA_CROSSOVER,2024-11-09 00:00:00-05
SMA_CROSSOVER_INJ,0.73,slowLength,45,fastLength,25,atr_period,5,stop_range,2,INJ,SMA_CROSSOVER,2024-10-21 01:00:00-04
SMA_CROSSOVER_SOL,0.66,slowLength,35,fastLength,15,atr_period,25,stop_range,2,SOL,SMA_CROSSOVER,2024-04-10 01:00:00-04
