strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,active_order,fund,strategy_name,expiry_date
BTC_FEAR_GREED_INDEX_MOMENTUM_AVAX,0.63,slowLength,65,fastLength,10,atr_period,20,stop_range,2,4,2024-01-11 14:49:42.562151-05,2024-01-19 01:30:45.356248-05,AVAX,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-07-13 01:00:00-04
BTC_FEAR_GREED_INDEX_MOMENTUM_BTC,0.53,slowLength,60,fastLength,45,atr_period,30,stop_range,4,1,2024-01-09 02:27:39.528212-05,2024-01-19 14:19:59.043358-05,BTC,f,95.58280999,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-02-02 00:00:00-05
BTC_FEAR_GREED_INDEX_MOMENTUM_BNB,0.77,slowLength,55,fastLength,30,atr_period,5,stop_range,4,27,2024-01-19 02:04:13.972661-05,2024-01-19 02:04:13.972661-05,BNB,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-02-02 00:00:00-05
BTC_FEAR_GREED_INDEX_MOMENTUM_ETH,0.67,slowLength,65,fastLength,10,atr_period,15,stop_range,2,2,2024-01-11 14:03:08.914123-05,2024-01-12 02:16:46.904019-05,ETH,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-02-02 00:00:00-05
BTC_FEAR_GREED_INDEX_MOMENTUM_LINK,0.82,slowLength,50,fastLength,5,atr_period,30,stop_range,2,26,2024-01-19 02:02:55.468069-05,2024-01-19 02:02:55.468069-05,LINK,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-02-02 00:00:00-05
BTC_FEAR_GREED_INDEX_MOMENTUM_RNDR,0.66,slowLength,55,fastLength,30,atr_period,20,stop_range,2,13,2024-01-11 18:07:08.480618-05,2024-01-11 18:07:08.480618-05,RNDR,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-06-11 01:00:00-04
BTC_FEAR_GREED_INDEX_MOMENTUM_VET,0.78,slowLength,70,fastLength,35,atr_period,15,stop_range,2,12,2024-01-11 18:00:13.927371-05,2024-01-11 18:00:13.927371-05,VET,f,100,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-08-03 01:00:00-04
SMA_CROSSOVER_AVAX,0.45,slowLength,40,fastLength,30,atr_period,20,stop_range,2,8,2024-01-11 15:10:00.260566-05,2024-01-11 15:10:00.260566-05,AVAX,f,100,SMA_CROSSOVER,2024-07-13 01:00:00-04
SMA_CROSSOVER_BTC,0.61,slowLength,35,fastLength,10,atr_period,45,stop_range,2,5,2024-01-11 15:02:07.773795-05,2024-01-11 15:02:07.773795-05,BTC,f,100,SMA_CROSSOVER,2024-09-17 01:00:00-04
SMA_CROSSOVER_CAKE,0.34,slowLength,35,fastLength,5,atr_period,5,stop_range,2,9,2024-01-11 15:11:53.274887-05,2024-01-11 15:11:53.274887-05,CAKE,f,100,SMA_CROSSOVER,2024-09-29 01:00:00-04
SMA_CROSSOVER_SOL,0.55,slowLength,35,fastLength,25,atr_period,5,stop_range,2,7,2024-01-11 15:07:54.831302-05,2024-01-11 15:07:54.831302-05,SOL,f,100,SMA_CROSSOVER,2024-04-10 01:00:00-04
BOLL_BAND_MOMENTUM_BTC,0.79,period,30,kstd,1.5,atr_period,40,stop_range,2,31,2024-01-22 22:32:46.238925-05,2024-01-22 22:32:46.238925-05,BTC,f,100,BOLL_BAND_MOMENTUM,2024-09-17 01:00:00-04
BOLL_BAND_MOMENTUM_SOL,0.69,period,85,kstd,2.5,atr_period,5,stop_range,2,32,2024-01-22 22:32:46.238925-05,2024-01-22 22:32:46.238925-05,SOL,f,100,BOLL_BAND_MOMENTUM,2024-04-10 01:00:00-04
