strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,strategy_name,expiry_date,direction,active,personal_acc
BTC_FEAR_GREED_INDEX_MOMENTUM_OKB,0.84,slowLength,65,fastLength,60,atr_period,15,stop_range,2,39,2024-01-27 12:58:20.232904+00,2024-01-27 12:58:20.232904+00,OKB,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-04-30 05:00:00+00,long,,
SMA_CROSSOVER_BTC,0.67,slowLength,35,fastLength,10,atr_period,35,stop_range,3,40,2024-01-27 13:16:27.240916+00,2024-01-27 13:16:27.240916+00,BTC,SMA_CROSSOVER,2024-09-17 05:00:00+00,long,t,
BOLL_BAND_REVERSION_FXS,0.8,period,15,kstd,2.25,atr_period,5,stop_range,2,35,2024-01-27 07:37:10.076313+00,2024-01-27 07:37:10.076313+00,FXS,BOLL_BAND_REVERSION,2024-12-27 05:00:00+00,long,t,t
BOLL_BAND_MOMENTUM_WEMIX,0.86,period,35,kstd,3,atr_period,5,stop_range,2,37,2024-01-27 12:28:20.260492+00,2024-01-27 12:28:20.260492+00,WEMIX,BOLL_BAND_MOMENTUM,2024-10-29 05:00:00+00,long,t,t
BOLL_BAND_MOMENTUM_EGLD,0.7,period,15,kstd,1.75,atr_period,5,stop_range,2,38,2024-01-27 12:37:00.478716+00,2024-01-27 12:37:00.478716+00,EGLD,BOLL_BAND_MOMENTUM,2024-09-04 05:00:00+00,long,t,
SMA_CROSSOVER_WBTC,0.67,slowLength,35,fastLength,30,atr_period,5,stop_range,3,41,2024-01-27 13:25:13.071859+00,2024-01-27 13:25:13.071859+00,WBTC,SMA_CROSSOVER,2024-01-30 05:00:00+00,long,t,t
BOLL_BAND_MOMENTUM_CAKE,0.49,period,25,kstd,1.25,atr_period,5,stop_range,2,36,2024-01-27 12:24:04.761029+00,2024-01-27 12:24:04.761029+00,CAKE,BOLL_BAND_MOMENTUM,2024-09-29 05:00:00+00,long,t,
BOLL_BAND_REVERSION_BNB,0.82,period,25,kstd,1.75,atr_period,10,stop_range,4,33,2024-01-27 07:13:21.488163+00,2024-01-27 07:13:21.488163+00,BNB,BOLL_BAND_REVERSION,2024-11-09 05:00:00+00,long,t,
BOLL_BAND_MOMENTUM_SOL,0.69,period,85,kstd,2.25,atr_period,20,stop_range,2,32,2024-01-23 03:32:46.238925+00,2024-01-23 03:32:46.238925+00,SOL,BOLL_BAND_MOMENTUM,2024-04-10 05:00:00+00,long,t,
BOLL_BAND_MOMENTUM_BTC,0.76,period,30,kstd,1.5,atr_period,10,stop_range,2,31,2024-01-23 03:32:46.238925+00,2024-01-23 03:32:46.238925+00,BTC,BOLL_BAND_MOMENTUM,2024-09-17 05:00:00+00,long,t,
BTC_FEAR_GREED_INDEX_MOMENTUM_MATIC,0.55,slowLength,75,fastLength,25,atr_period,25,stop_range,2,27,2024-01-19 07:04:13.972661+00,2024-01-19 07:04:13.972661+00,MATIC,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-04-28 05:00:00+00,long,t,
SMA_CROSSOVER_CAKE,0.69,slowLength,45,fastLength,5,atr_period,45,stop_range,2,9,2024-01-11 20:11:53.274887+00,2024-01-11 20:11:53.274887+00,CAKE,SMA_CROSSOVER,2024-09-29 05:00:00+00,long,t,
SMA_CROSSOVER_AVAX,0.7,slowLength,35,fastLength,30,atr_period,20,stop_range,2,8,2024-01-11 20:10:00.260566+00,2024-01-11 20:10:00.260566+00,AVAX,SMA_CROSSOVER,2024-07-13 05:00:00+00,long,t,
BTC_FEAR_GREED_INDEX_MOMENTUM_AVAX,0.66,slowLength,60,fastLength,35,atr_period,20,stop_range,2,4,2024-01-11 19:49:42.562151+00,2024-01-19 06:30:45.356248+00,AVAX,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-07-13 05:00:00+00,long,t,
BTC_FEAR_GREED_INDEX_MOMENTUM_FXS,1,slowLength,90,fastLength,5,atr_period,20,stop_range,2,2,2024-01-11 19:03:08.914123+00,2024-01-30 21:54:47.696079+00,FXS,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-12-27 05:00:00+00,long,t,t
BTC_FEAR_GREED_INDEX_MOMENTUM_BTC,0.61,slowLength,60,fastLength,50,atr_period,15,stop_range,3,1,2024-01-09 07:27:39.528212+00,2024-01-30 21:55:50.513249+00,BTC,BTC_FEAR_GREED_INDEX_MOMENTUM,2024-02-02 05:00:00+00,long,t,
BOLL_BAND_REVERSION_WEMIX,0.62,period,15,kstd,2.75,atr_period,5,stop_range,2,34,2024-01-27 07:23:51.565406+00,2024-01-27 07:23:51.565406+00,WEMIX,BOLL_BAND_REVERSION,2024-10-29 05:00:00+00,long,t,t
