strategy_id,position_size,parameter_1,value_1,parameter_2,value_2,parameter_3,value_3,parameter_4,value_4,id,created_at,updated_at,symbol,strategy_name,direction,active,personal_acc,parameter_5,value_5,backtest_period,wfe,sr,l_sr,b_sr,win_rate,trd_num,sim_ret,lev_ret,bnh_ret,sim_mdd,lev_mdd,bnh_mdd,lev_add,bnh_add,expos,leverage,timeframe,is_lev,sim_add
STOCH_OSCILL_MOMENTUM_LONG_4H_GMX,0.29,,,,,,,,,492,2024-03-14 04:13:45.04544-04,2024-03-14 04:13:45.04544-04,GMX,STOCH_OSCILL_MOMENTUM_LONG_4H,LONG,t,,,,20240107,1.3,3.14,1.28,0.46,77.8,9,6.6,50.6,5.2,-2,-11.9,-32.11,-4.69,-10.16,49.32,6.67,4H,f,
STOCH_OSCILL_MOMENTUM_LONG_4H_FET,0.3,,,,,,,,,493,2024-03-14 04:13:45.04544-04,2024-03-14 04:13:45.04544-04,FET,STOCH_OSCILL_MOMENTUM_LONG_4H,LONG,t,,,,20240107,1.34,2.58,1.24,0.34,62.5,8,21.7,62.7,304.4,-6.1,-14.97,-31.68,-4.61,-7.58,45.75,2.63,4H,f,
MACD_CROSSOVER_LONG_1D_CRV,0.23,,,,,,,,,841,2024-04-13 03:03:18.22852-04,2024-04-13 03:03:18.22852-04,CRV,MACD_CROSSOVER_LONG_1D,LONG,t,,,,20230414,-0.17,1.47,0,-0.34,75,4,9.2,0,-56,-2.4,0,-63.72,0,-63.72,14.79,1,1D,,-0.83
MACD_CROSSOVER_LONG_1D_AGIX,0.67,,,,,,,,,842,2024-04-13 03:03:18.22852-04,2024-04-13 03:03:18.22852-04,AGIX,MACD_CROSSOVER_LONG_1D,LONG,t,,,,20220414,-0.09,1.58,0,1.32,40,5,443.6,0,476.5,-41.8,0,-78.94,0,-24.97,17.67,1,1D,,-11.44
BOLL_BAND_MOMENTUM_LONG_1D_THETA,0.32,,,,,,,,,268,2024-03-09 06:58:58.992834-05,2024-03-09 06:58:58.992834-05,THETA,BOLL_BAND_MOMENTUM_LONG_1D,LONG,t,,,,20230308,0.45,1.56,1.23,0.73,41.7,12,53.6,106.8,201.3,-11.4,-21.55,-53.85,-7.32,0,29.32,2,1D,f,
MACD_CROSSOVER_LONG_1D_RUNE,0.52,,,,,,,,,843,2024-04-13 03:03:18.22852-04,2024-04-13 03:03:18.22852-04,RUNE,MACD_CROSSOVER_LONG_1D,LONG,t,,,,20230414,0.81,2.14,0,1.88,60,5,165.7,0,284.3,-22.2,0,-53.12,0,-15.36,38.08,1,1D,,-8.84
MACD_CROSSOVER_LONG_1D_FTM,0.55,,,,,,,,,844,2024-04-13 03:03:18.22852-04,2024-04-13 03:03:18.22852-04,FTM,MACD_CROSSOVER_LONG_1D,LONG,t,,,,20230414,-0.25,1.98,0,1.08,40,10,119.6,0,60,-21.6,0,-67.06,0,-21.48,47.67,1,1D,,-9.35
BOLL_BAND_REVERSION_LONG_4H_ADA,0.66,,,,,,,,,685,2024-03-25 18:36:23.744702-04,2024-03-25 18:36:23.744702-04,ADA,BOLL_BAND_REVERSION_LONG_4H,LONG,t,,,,20240122,0.07,2.65,0,0.83,50,8,7.6,0,25.5,-2.3,0,-26.24,0,-5.73,11.23,1,4H,,-1.31
MACD_CROSSOVER_LONG_1D_FET,0.54,,,,,,,,,846,2024-04-13 03:03:18.22852-04,2024-04-13 03:03:18.22852-04,FET,MACD_CROSSOVER_LONG_1D,LONG,t,,,,20230414,0.66,2.67,0,2.19,66.7,3,328.9,0,492.1,-18.9,0,-57.87,0,-14.05,32.05,1,1D,,-6.59
MACD_CROSSOVER_LONG_1D_MKR,0.46,,,,,,,,,847,2024-04-13 03:03:18.22852-04,2024-04-13 03:03:18.22852-04,MKR,MACD_CROSSOVER_LONG_1D,LONG,t,,,,20230414,0.73,2.06,0,2.35,53.8,13,69.5,0,320.2,-10.3,0,-24.3,0,-9.51,51.78,1,1D,,-3.92
MACD_CROSSOVER_LONG_1D_RNDR,0.51,,,,,,,,,848,2024-04-13 03:03:18.22852-04,2024-04-13 03:03:18.22852-04,RNDR,MACD_CROSSOVER_LONG_1D,LONG,t,,,,20230414,-0.04,2.28,0,2.1,60,5,109,0,403.4,-14.7,0,-51.27,0,-10.88,36.71,1,1D,,-3.51
MACD_CROSSOVER_LONG_1D_BTC,0.72,,,,,,,,,850,2024-04-13 03:03:18.22852-04,2024-04-13 03:03:18.22852-04,BTC,MACD_CROSSOVER_LONG_1D,LONG,t,,,,20230413,0.25,2.31,0,2.04,66.7,3,66.7,0,133.6,-10,0,-20.06,0,-5.79,34.52,1,1D,,-2.9
MACD_CROSSOVER_LONG_1D_CRO,0.67,,,,,,,,,845,2024-04-13 03:03:18.22852-04,2024-04-13 03:03:18.22852-04,CRO,MACD_CROSSOVER_LONG_1D,LONG,t,t,,,20230414,0.67,2.46,0,1.45,100,2,101.6,0,106.6,-17.1,0,-37.47,0,-14.86,23.01,1,1D,,-3.82
MACD_CROSSOVER_LONG_1D_WBTC,0.71,,,,,,,,,849,2024-04-13 03:03:18.22852-04,2024-04-13 03:03:18.22852-04,WBTC,MACD_CROSSOVER_LONG_1D,LONG,t,t,,,20230414,0.17,2.11,0,2.04,66.7,3,60.1,0,132,-12,0,-20.09,0,-4.87,35.62,1,1D,,-2.57
MACD_CROSSOVER_LONG_4H_PEPE,0.21,,,,,,,,,563,2024-03-20 21:14:22.100666-04,2024-03-20 21:14:22.100666-04,PEPE,MACD_CROSSOVER_LONG_4H,LONG,t,,,,20240115,2.27,4,0.39,0.07,68.8,16,21.1,355.5,614.6,-5.1,-32.59,-29.41,-8.8,-11.6,29.04,9.09,4H,,-1.23
MACD_CROSSOVER_SHORT_1D_SHIB,0.84,,,,,,,,,894,2024-04-16 01:22:05.647171-04,2024-04-16 01:22:05.647171-04,SHIB,MACD_CROSSOVER_SHORT_1D,SHORT,,,,,20230414,-0.76,1.04,0,1.16,80,5,41.7,0,124.1,-19.3,0,-41.67,0,-26.52,27.12,1,1D,,-12.38
MACD_CROSSOVER_SHORT_1D_BCH,0.37,,,,,,,,,895,2024-04-16 01:22:05.647171-04,2024-04-16 01:22:05.647171-04,BCH,MACD_CROSSOVER_SHORT_1D,SHORT,,,,,20230414,-0.41,0.83,0,1.78,58.8,17,8.6,0,312.6,-5.4,0,-39.7,0,-16.01,29.59,1,1D,,-2.18
MACD_CROSSOVER_SHORT_1D_FLOW,1,,,,,,,,,896,2024-04-16 01:22:05.647171-04,2024-04-16 01:22:05.647171-04,FLOW,MACD_CROSSOVER_SHORT_1D,SHORT,,,,,20230415,-0.45,1.77,0,0.35,75,4,65,0,-5.2,-19,0,-62.64,0,-18.5,32.6,1,1D,,-4.84
MACD_CROSSOVER_SHORT_1D_CRO,1,,,,,,,,,897,2024-04-16 01:22:05.647171-04,2024-04-16 01:22:05.647171-04,CRO,MACD_CROSSOVER_SHORT_1D,SHORT,,,,,20230415,-0.92,0.96,0,1.29,100,3,17.8,0,94.2,-10.5,0,-37.47,0,-14.86,30.68,1,1D,,-3.82
MACD_CROSSOVER_LONG_4H_SOL,0.56,,,,,,,,,569,2024-03-20 21:14:22.100666-04,2024-03-20 21:14:22.100666-04,SOL,MACD_CROSSOVER_LONG_4H,LONG,t,,,,20240115,1.21,3.24,2.07,1.17,66.7,9,22.9,47.7,85.7,-4.8,-9.02,-21.43,-3.55,-5.77,30.68,1.96,4H,,-1.88
MACD_CROSSOVER_SHORT_1D_HBAR,0.67,,,,,,,,,898,2024-04-16 01:22:05.647171-04,2024-04-16 01:22:05.647171-04,HBAR,MACD_CROSSOVER_SHORT_1D,SHORT,,,,,20230414,-0.01,1.2,0,0.7,66.7,3,16,0,26.8,-5.2,0,-37.95,0,-13.02,12.05,1,1D,,-2.78
STOCH_OSCILL_MOMENTUM_SHORT_1D_YFI,0.7,,,,,,,,,899,2024-04-16 01:22:05.647171-04,2024-04-16 01:22:05.647171-04,YFI,STOCH_OSCILL_MOMENTUM_SHORT_1D,SHORT,,,,,20230416,-0.55,1.17,0,0.01,55.6,9,31,0,-25,-15.8,0,-54.09,0,-50.02,39.45,1,1D,,-2.79
MACD_CROSSOVER_LONG_4H_FIL,0.19,,,,,,,,,572,2024-03-20 21:14:22.100666-04,2024-03-20 21:14:22.100666-04,FIL,MACD_CROSSOVER_LONG_4H,LONG,t,,,,20240115,1.58,2.66,1.77,0.65,66.7,12,9.2,26.2,60.9,-2.3,-5.86,-21.73,-1.82,-8.62,40.55,2.7,4H,,-0.7
MACD_CROSSOVER_LONG_4H_ETH,0.56,,,,,,,,,573,2024-03-20 21:14:22.100666-04,2024-03-20 21:14:22.100666-04,ETH,MACD_CROSSOVER_LONG_4H,LONG,t,,,,20240115,-0.04,2.58,2,1.76,60,10,11.7,21.6,45.4,-6.4,-11.33,-15.53,-1.98,-2.85,48.49,1.82,4H,,-1.12
STOCH_OSCILL_MOMENTUM_SHORT_1D_FLOW,0.84,,,,,,,,,900,2024-04-16 01:22:05.647171-04,2024-04-16 01:22:05.647171-04,FLOW,STOCH_OSCILL_MOMENTUM_SHORT_1D,SHORT,,,,,20230415,-1.19,1.18,0,0.18,66.7,6,47.8,0,-14.9,-27.8,0,-62.64,0,-19.95,48.22,1,1D,,-4.84
STOCH_OSCILL_MOMENTUM_LONG_4H_JASMY,0.5,,,,,,,,,901,2024-04-16 01:22:05.647171-04,2024-04-16 01:22:05.647171-04,JASMY,STOCH_OSCILL_MOMENTUM_LONG_4H,LONG,,,,,20240212,2.24,3.13,0,1.84,71.4,7,129.8,0,234.6,-5.8,0,-35.33,0,-6.92,30.68,1,4H,,-2.16
STOCH_OSCILL_MOMENTUM_LONG_4H_XTZ,0.74,,,,,,,,,902,2024-04-16 01:22:05.647171-04,2024-04-16 01:22:05.647171-04,XTZ,STOCH_OSCILL_MOMENTUM_LONG_4H,LONG,,,,,20240212,-0.48,1.07,0,0.31,58.8,17,12,0,6.2,-7.2,0,-30.49,0,-4.42,28.49,1,4H,,-1.34
